ReportingDate,Crisis,GovernorateOfDisplacement,DistrictOfDisplacement,SubdistrictOfDisplacement,LocationID,LocationType,LocationName,Latitude,Longitude,PrivateSettings,link,google_maps_link,bing_maps_link
2/23/17,Mosul Operations,Ninewa,Al-Hamdaniya,Markaz Al-Hamdaniya,2703020,Formal Camp,Hasansham U3 camp,36.32304,43.5395,,https://reliefweb.int/map/iraq/iraq-hasansham-u3-camp-general-infrastructure-updated-10-may-2017,"https://www.google.com/maps/?q=36.32304,43.5395","https://www.bing.com/maps/?q=36.32304,43.5395"
2/23/17,Mosul Operations,Baghdad,Karkh,Al-Mansour,2307084,Formal Camp,Kadhraa Camp,33.31738345,44.29105318,,https://reliefweb.int/map/iraq/iraq-baghdad-governorate-kadhra-camp-general-infrastructure-updated-6-january-2017,"https://www.google.com/maps/?q=33.31738345,44.29105318","https://www.bing.com/maps/?q=33.31738345,44.29105318"
11/1/16,Mosul Operations,Ninewa,Al-Hamdaniya,Markaz Al-Hamdaniya,2703019,Formal Camp,Khazer M1 camp,36.30807,43.54371,,https://reliefweb.int/map/iraq/iraq-khazer-m1-camp-general-infrastructure-updated-07-may-2017,"https://www.google.com/maps/?q=36.30807,43.54371","https://www.bing.com/maps/?q=36.30807,43.54371"
2/23/17,Mosul Operations,Anbar,Ramadi,Markaz Ramadi,2108044,Formal Camp,Kilo 18,33.40059946,43.13493054,,https://reliefweb.int/map/iraq/iraq-anbar-governorate-kilo-18-camp-general-infrastructure-updated-18-may-2017,"https://www.google.com/maps/?q=33.40059946,43.13493054","https://www.bing.com/maps/?q=33.40059946,43.13493054"
6/29/17,Mosul Operations,Anbar,Ramadi,Al-Wafaa,2108047,Formal Camp,Kilo 60,33.340912,42.785191,,,"https://www.google.com/maps/?q=33.340912,42.785191","https://www.bing.com/maps/?q=33.340912,42.785191"
2/23/17,Mosul Operations,Ninewa,Akre,Markaz Akre,2701015,Formal Camp,Mamilian Camp,36.689183,43.799536,,https://reliefweb.int/map/iraq/iraq-mamilian-camp-general-infrastructure-updated-18-january-2017,"https://www.google.com/maps/?q=36.689183,43.799536","https://www.bing.com/maps/?q=36.689183,43.799536"
6/29/17,Mosul Operations,Ninewa,Akre,Markaz Akre,2701015,Formal Camp,Mamilian Camp,36.689183,43.799536,,https://reliefweb.int/map/iraq/iraq-mamilian-camp-general-infrastructure-updated-16-may-2017,"https://www.google.com/maps/?q=36.689183,43.799536","https://www.bing.com/maps/?q=36.689183,43.799536"
2/23/17,Mosul Operations,Ninewa,Al-Shikhan,Markaz Al-Shikhan,2704034,Formal Camp,Nargizlia1 Camp,36.618779,43.305426,,https://reliefweb.int/map/iraq/iraq-nargizlia-1-2-camp-general-infrastructure-updated-11-may-2017,"https://www.google.com/maps/?q=36.618779,43.305426","https://www.bing.com/maps/?q=36.618779,43.305426"
6/29/17,Mosul Operations,Ninewa,Al-Shikhan,Markaz Al-Shikhan,2704035,Formal Camp,Nargizlia2 Camp,36.623408,43.304554,,https://reliefweb.int/map/iraq/iraq-nargizlia-1-2-camp-general-infrastructure-updated-11-may-2017,"https://www.google.com/maps/?q=36.623408,43.304554","https://www.bing.com/maps/?q=36.623408,43.304554"
2/23/17,Mosul Operations,Ninewa,Al-Hamdaniya,Markaz Al-Hamdaniya,2703016,Formal Camp,Qaymawa (former Zelikan),36.49031,43.50769,,https://reliefweb.int/map/iraq/iraq-qaymawa-camp-general-infrastructure-tent-condition-9-january-2017,"https://www.google.com/maps/?q=36.49031,43.50769","https://www.bing.com/maps/?q=36.49031,43.50769"
2/23/17,Mosul Operations,Ninewa,Mosul,Al-Qayara,2706121,Formal Camp,Qayyarah Jad’ah 2 camp,35.745248,43.265157,,https://reliefweb.int/map/iraq/iraq-qayyarah-jadah-camp-general-infrastructure-updated-1-june-2017,"https://www.google.com/maps/?q=35.745248,43.265157","https://www.bing.com/maps/?q=35.745248,43.265157"
2/23/17,Mosul Operations,Ninewa,Mosul,Al-Qayara,2706123,Formal Camp,Qayyarah Jad’ah 3 Camp,35.751704,43.266149,,https://reliefweb.int/map/iraq/iraq-qayyarah-jadah-camp-general-infrastructure-updated-1-june-2017,"https://www.google.com/maps/?q=35.751704,43.266149","https://www.bing.com/maps/?q=35.751704,43.266149"
6/29/17,Mosul Operations,Ninewa,Mosul,Al-Qayara,2706140,Formal Camp,Qayyarah Jad’ah 4 Camp,35.739972,43.267453,,https://reliefweb.int/map/iraq/iraq-salah-al-din-qayyarah-jadah-camp-general-infrastructure-updated-1-march-2017,"https://www.google.com/maps/?q=35.739972,43.267453","https://www.bing.com/maps/?q=35.739972,43.267453"
6/29/17,Mosul Operations,Ninewa,Mosul,Al-Qayara,2706154,Formal Camp,Qayyarah Jad’ah 5 camp,35.759046,43.267292,,https://reliefweb.int/map/iraq/iraq-qayyarah-jadah-camp-general-infrastructure-updated-1-march-2017,"https://www.google.com/maps/?q=35.759046,43.267292","https://www.bing.com/maps/?q=35.759046,43.267292"
6/29/17,Mosul Operations,Ninewa,Mosul,Al-Qayara,,Formal Camp,Qayyarah Jad’ah 6 camp,35.760978,43.267733,,https://reliefweb.int/map/iraq/iraq-salah-al-din-qayyarah-jadah-camp-general-infrastructure-updated-january-2017,"https://www.google.com/maps/?q=35.760978,43.267733","https://www.bing.com/maps/?q=35.760978,43.267733"
11/1/16,Mosul Operations,Ninewa,Mosul,Al-Qayara,2706108,Formal Camp,Qayyarah Jad’ah Camp,35.744711,43.267578,,https://reliefweb.int/map/iraq/iraq-qayyarah-jadah-camp-general-infrastructure-updated-1-june-2017,"https://www.google.com/maps/?q=35.744711,43.267578","https://www.bing.com/maps/?q=35.744711,43.267578"
2/23/17,Mosul Operations,Salah al-Din,Tikrit,Al-Alam,2808063,Formal Camp,Tal-Al Sibaat Village,34.82091767,43.57805906,,,"https://www.google.com/maps/?q=34.82091767,43.57805906","https://www.bing.com/maps/?q=34.82091767,43.57805906"
6/29/17,Mosul Operations,Salah al-Din,Tikrit,Al-Alam,2808063,Formal Camp,Tal-Al Sibaat Village,34.82091767,43.57805906,,,"https://www.google.com/maps/?q=34.82091767,43.57805906","https://www.bing.com/maps/?q=34.82091767,43.57805906"
2/23/17,Mosul Operations,Sulaymaniyah,Kalar,Markaz Kalar,1305022,Formal Camp,Tazade Camp,34.70544154,45.44910585,,https://reliefweb.int/map/iraq/iraq-sulaymaniyah-governorate-tazade-camp-general-infrastructure-25-may-2017,"https://www.google.com/maps/?q=34.70544154,45.44910585","https://www.bing.com/maps/?q=34.70544154,45.44910585"
6/29/17,Mosul Operations,Sulaymaniyah,Kalar,Markaz Kalar,1305022,Formal Camp,Tazade Camp,34.70544154,45.44910585,,https://reliefweb.int/map/iraq/iraq-sulaymaniyah-governorate-tazade-camp-general-infrastructure-25-may-2017,"https://www.google.com/maps/?q=34.70544154,45.44910585","https://www.bing.com/maps/?q=34.70544154,45.44910585"
2/23/17,Mosul Operations,Baghdad,Karkh,Al-Rasheed,2307143,Formal Camp,Uwayrij Camp,33.17167881,44.36383157,,,"https://www.google.com/maps/?q=33.17167881,44.36383157","https://www.bing.com/maps/?q=33.17167881,44.36383157"
6/29/17,Mosul Operations,Baghdad,Karkh,Al-Rasheed,2307143,Formal Camp,Uwayrij Camp,33.17167881,44.36383157,,http://www.reachresourcecentre.info/system/files/resource-documents/reach_irq_map_idp_uwarij_15feb2018.pdf,"https://www.google.com/maps/?q=33.17167881,44.36383157","https://www.bing.com/maps/?q=33.17167881,44.36383157"
11/1/16,Mosul Operations,Ninewa,Al-Hamdaniya,Markaz Al-Hamdaniya,,Formal Camp,Zelikan,36.49031,43.50769,,,"https://www.google.com/maps/?q=36.49031,43.50769","https://www.bing.com/maps/?q=36.49031,43.50769"
11/1/16,Mosul Operations,Ninewa,Al-Hamdaniya,Markaz Al-Hamdaniya,,Formal Camp,Zelikan ,36.49031,43.50769,,,"https://www.google.com/maps/?q=36.49031,43.50769","https://www.bing.com/maps/?q=36.49031,43.50769"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
